date,hour,traffic
24/01/14,12,27
24/01/14,13,61
24/01/14,14,43
24/01/14,15,52
24/01/14,16,59
24/01/14,17,55
24/01/14,18,65
24/01/14,19,49
24/01/14,20,48
24/01/14,21,0
24/01/14,22,0
25/01/14,8,0
25/01/14,9,0
25/01/14,10,33
25/01/14,11,37
25/01/14,12,92
25/01/14,13,69
25/01/14,14,82
25/01/14,15,111
25/01/14,16,88
25/01/14,17,76
25/01/14,18,63
25/01/14,19,66
25/01/14,20,44
25/01/14,21,0
25/01/14,22,0
26/01/14,8,0
26/01/14,9,0
26/01/14,10,17
26/01/14,11,26
26/01/14,12,46
26/01/14,13,54
26/01/14,14,55
26/01/14,15,71
26/01/14,16,78
26/01/14,17,74
26/01/14,18,49
26/01/14,19,40
26/01/14,20,14
26/01/14,21,0
26/01/14,22,0
27/01/14,8,0
27/01/14,9,0
27/01/14,10,14
27/01/14,11,14
27/01/14,12,33
27/01/14,13,24
27/01/14,14,26
27/01/14,15,24
27/01/14,16,28
27/01/14,17,22
27/01/14,18,46
27/01/14,19,29
27/01/14,20,25
27/01/14,21,0
27/01/14,22,0
28/01/14,8,0
28/01/14,9,0
28/01/14,10,13
28/01/14,11,27
28/01/14,12,42
28/01/14,13,39
28/01/14,14,34
28/01/14,15,34
28/01/14,16,44
28/01/14,17,37
28/01/14,18,41
28/01/14,19,25
28/01/14,20,20
28/01/14,21,0
28/01/14,22,0
29/01/14,8,0
29/01/14,9,0
29/01/14,10,15
29/01/14,11,38
29/01/14,12,39
29/01/14,13,42
29/01/14,14,47
29/01/14,15,50
29/01/14,16,50
29/01/14,17,40
29/01/14,18,43
29/01/14,19,44
29/01/14,20,21
29/01/14,21,0
29/01/14,22,0
30/01/14,8,0
30/01/14,9,0
30/01/14,10,34
30/01/14,11,38
30/01/14,12,53
30/01/14,13,43
30/01/14,14,38
30/01/14,15,53
30/01/14,16,62
30/01/14,17,52
30/01/14,18,55
30/01/14,19,54
30/01/14,20,28
30/01/14,21,0
30/01/14,22,0
31/01/14,8,0
31/01/14,9,0
31/01/14,10,29
31/01/14,11,34
31/01/14,12,56
31/01/14,13,30
31/01/14,14,50
31/01/14,15,52
31/01/14,16,52
31/01/14,17,86
31/01/14,18,57
31/01/14,19,64
31/01/14,20,35
31/01/14,21,0
31/01/14,22,0
01/02/14,8,0
01/02/14,9,0
01/02/14,10,29
01/02/14,11,61
01/02/14,12,92
01/02/14,13,84
01/02/14,14,75
01/02/14,15,102
01/02/14,16,87
01/02/14,17,116
01/02/14,18,83
01/02/14,19,73
01/02/14,20,54
01/02/14,21,0
01/02/14,22,0
02/02/14,8,0
02/02/14,9,0
02/02/14,10,20
02/02/14,11,56
02/02/14,12,67
02/02/14,13,56
02/02/14,14,74
02/02/14,15,106
02/02/14,16,93
02/02/14,17,64
02/02/14,18,80
02/02/14,19,43
02/02/14,20,30
02/02/14,21,0
02/02/14,22,0
03/02/14,8,0
03/02/14,9,0
03/02/14,10,23
03/02/14,11,35
03/02/14,12,30
03/02/14,13,47
03/02/14,14,40
03/02/14,15,44
03/02/14,16,41
03/02/14,17,59
03/02/14,18,62
03/02/14,19,30
03/02/14,20,32
03/02/14,21,0
03/02/14,22,0
04/02/14,8,0
04/02/14,9,0
04/02/14,10,23
04/02/14,11,35
04/02/14,12,45
04/02/14,13,37
04/02/14,14,48
04/02/14,15,48
04/02/14,16,70
04/02/14,17,41
04/02/14,18,53
04/02/14,19,55
04/02/14,20,34
04/02/14,21,0
04/02/14,22,0
05/02/14,8,0
05/02/14,9,0
05/02/14,10,29
05/02/14,11,36
05/02/14,12,50
05/02/14,13,67
05/02/14,14,62
05/02/14,15,44
05/02/14,16,54
05/02/14,17,81
05/02/14,18,71
05/02/14,19,39
05/02/14,20,21
05/02/14,21,0
05/02/14,22,0
06/02/14,8,0
06/02/14,9,0
06/02/14,10,33
06/02/14,11,28
06/02/14,12,51
06/02/14,13,44
06/02/14,14,56
06/02/14,15,55
06/02/14,16,74
06/02/14,17,60
06/02/14,18,53
06/02/14,19,52
06/02/14,20,18
06/02/14,21,0
06/02/14,22,0
07/02/14,8,0
07/02/14,9,0
07/02/14,10,33
07/02/14,11,34
07/02/14,12,45
07/02/14,13,65
07/02/14,14,68
07/02/14,15,61
07/02/14,16,79
07/02/14,17,63
07/02/14,18,72
07/02/14,19,58
07/02/14,20,28
07/02/14,21,0
07/02/14,22,0
08/02/14,8,0
08/02/14,9,0
08/02/14,10,40
08/02/14,11,43
08/02/14,12,58
08/02/14,13,106
08/02/14,14,81
08/02/14,15,101
08/02/14,16,127
08/02/14,17,118
08/02/14,18,98
08/02/14,19,86
08/02/14,20,44
08/02/14,21,0
08/02/14,22,0
09/02/14,8,0
09/02/14,9,0
09/02/14,10,28
09/02/14,11,44
09/02/14,12,55
09/02/14,13,74
09/02/14,14,86
